User ID,Install Date,Install Month,Install Week,Days Since Install,Acquisition Source,Country,Platform,Age Group,Day 1 Retained,Day 7 Retained,Day 30 Retained,Total Sessions,Avg Session Duration (min),Total Playtime (hours),Levels Completed,Tutorial Completed,Ads Watched,Friends Invited,Guild Joined,Is Payer,Number of Purchases,First Purchase Day,Total Revenue,LTV Day 7,LTV Day 30,LTV Day 90,LTV Day 180,LTV Day 365,Predicted LTV,User Segment,Sessions Per Day,Revenue Per Session,Engagement Score
user_000010,2025-11-27,2025-11,2025-11-24/2025-11-30,34,Google Ads,DE,iOS,25-34,No,No,No,11,17.2,3.2,7,No,7,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,Low Value,0.32,0.0,12.4
user_000011,2025-03-29,2025-03,2025-03-24/2025-03-30,277,Organic,CA,iOS,18-24,No,No,No,7,7.4,0.9,6,Yes,5,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,Low Value,0.03,0.0,20.4
user_000012,2025-04-10,2025-04,2025-04-07/2025-04-13,265,Organic,DE,Android,35-44,Yes,No,No,5,15.8,1.3,6,No,3,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,Low Value,0.02,0.0,19.0
user_000013,2025-12-26,2025-12,2025-12-22/2025-12-28,5,Facebook Ads,US,Android,18-24,Yes,No,No,44,15.5,11.4,41,No,23,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,Low Value,8.8,0.0,29.0
user_000014,2025-06-01,2025-06,2025-05-26/2025-06-01,213,Influencer,DE,Android,18-24,Yes,No,No,22,12.3,4.5,26,Yes,12,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,Low Value,0.1,0.0,35.7
user_000015,2025-05-11,2025-05,2025-05-05/2025-05-11,234,Facebook Ads,US,iOS,35-44,Yes,No,No,6,18.2,1.8,7,Yes,2,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.77,Medium Value,0.03,0.0,29.7
user_000016,2025-05-30,2025-05,2025-05-26/2025-06-01,215,Influencer,US,iOS,45-54,No,No,No,1,21.4,0.4,0,No,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,Medium Value,0.0,0.0,3.5
user_000017,2025-11-05,2025-11,2025-11-03/2025-11-09,56,Facebook Ads,US,iOS,35-44,Yes,No,No,13,27.3,5.9,6,Yes,8,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,Low Value,0.23,0.0,33.2
user_000018,2025-09-15,2025-09,2025-09-15/2025-09-21,107,Facebook Ads,DE,Android,45-54,No,No,No,6,7.1,0.7,6,Yes,1,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,Low Value,0.06,0.0,19.7
user_000019,2025-12-10,2025-12,2025-12-08/2025-12-14,21,Organic,US,iOS,25-34,No,No,No,1,18.8,0.3,0,Yes,3,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.86,High Value (Whale),0.05,0.0,13.5
user_000020,2025-10-21,2025-10,2025-10-20/2025-10-26,71,Apple Search,KR,iOS,45-54,No,No,No,1,4.9,0.1,1,Yes,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.18,Medium Value,0.01,0.0,13.5
user_000021,2025-07-11,2025-07,2025-07-07/2025-07-13,173,Organic,CA,iOS,25-34,No,No,No,1,15.1,0.2,0,No,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,Low Value,0.01,0.0,3.5
user_000022,2025-10-04,2025-10,2025-09-29/2025-10-05,88,Influencer,CN,Android,55+,No,No,No,9,12.0,1.8,5,Yes,1,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.34,Medium Value,0.1,0.0,21.5
user_000023,2025-06-10,2025-06,2025-06-09/2025-06-15,204,Influencer,US,iOS,18-24,No,No,No,1,15.1,0.2,1,Yes,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,Medium Value,0.0,0.0,13.5
user_000024,2025-11-10,2025-11,2025-11-10/2025-11-16,51,Influencer,US,Android,35-44,No,No,No,4,15.8,1.0,3,Yes,1,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,Low Value,0.08,0.0,18.0
user_000025,2025-01-22,2025-01,2025-01-20/2025-01-26,343,Facebook Ads,CN,Android,35-44,No,No,No,7,7.3,0.8,9,Yes,4,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,Medium Value,0.02,0.0,20.4
user_000026,2025-09-10,2025-09,2025-09-08/2025-09-14,112,Google Ads,IN,iOS,25-34,No,No,No,7,11.7,1.4,6,Yes,2,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,Low Value,0.06,0.0,20.4
user_000027,2025-08-24,2025-08,2025-08-18/2025-08-24,129,Apple Search,US,Android,35-44,Yes,No,No,21,6.0,2.1,13,Yes,10,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,Low Value,0.16,0.0,35.5
user_000028,2025-12-11,2025-12,2025-12-08/2025-12-14,20,Organic,BR,iOS,45-54,Yes,No,No,21,36.7,12.8,11,Yes,10,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,Low Value,1.05,0.0,35.5
user_000029,2025-02-18,2025-02,2025-02-17/2025-02-23,316,Google Ads,DE,iOS,45-54,No,No,No,3,14.2,0.7,0,Yes,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,Low Value,0.01,0.0,16.9
user_000030,2025-02-28,2025-02,2025-02-24/2025-03-02,306,Organic,DE,Android,18-24,No,No,No,2,6.0,0.2,1,Yes,4,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,Low Value,0.01,0.0,15.5
user_000031,2025-06-19,2025-06,2025-06-16/2025-06-22,195,Facebook Ads,CA,Android,18-24,No,No,No,1,6.2,0.1,1,No,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.54,Low Value,0.01,0.0,3.5
user_000032,2025-07-07,2025-07,2025-07-07/2025-07-13,177,Organic,CN,Android,18-24,No,No,No,3,6.8,0.3,2,Yes,3,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,Low Value,0.02,0.0,16.9
user_000033,2025-09-28,2025-09,2025-09-22/2025-09-28,94,Organic,IN,Android,18-24,No,No,No,1,9.7,0.2,1,Yes,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,Low Value,0.01,0.0,13.5
user_000034,2025-07-09,2025-07,2025-07-07/2025-07-13,175,Facebook Ads,JP,Android,25-34,No,No,No,3,5.5,0.3,2,No,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,Low Value,0.02,0.0,6.9
user_000035,2025-06-24,2025-06,2025-06-23/2025-06-29,190,Facebook Ads,DE,iOS,35-44,Yes,No,No,26,12.4,5.4,20,Yes,24,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,Low Value,0.14,0.0,36.5
user_000036,2025-02-20,2025-02,2025-02-17/2025-02-23,314,Google Ads,UK,Android,25-34,No,No,No,2,21.1,0.7,3,Yes,1,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,Medium Value,0.01,0.0,15.5
user_000037,2025-12-30,2025-12,2025-12-29/2026-01-04,1,Organic,JP,Android,35-44,No,No,No,3,22.6,1.1,3,No,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.66,High Value (Whale),3.0,0.0,6.9
user_000038,2025-02-24,2025-02,2025-02-24/2025-03-02,310,Facebook Ads,DE,iOS,25-34,No,No,No,9,14.3,2.1,12,Yes,6,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,Low Value,0.03,0.0,21.5
user_000039,2025-09-01,2025-09,2025-09-01/2025-09-07,121,Organic,US,iOS,25-34,Yes,No,No,20,19.2,6.4,12,No,10,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,Low Value,0.17,0.0,25.2
user_000040,2025-11-16,2025-11,2025-11-10/2025-11-16,45,Google Ads,US,Android,18-24,No,No,No,1,8.7,0.2,1,Yes,1,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,Low Value,0.02,0.0,13.5
user_000041,2025-05-11,2025-05,2025-05-05/2025-05-11,234,Google Ads,JP,iOS,35-44,Yes,Yes,No,54,15.8,14.2,35,Yes,27,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,Low Value,0.23,0.0,70.0
user_000042,2025-11-03,2025-11,2025-11-03/2025-11-09,58,Google Ads,CN,iOS,35-44,Yes,No,No,9,13.0,2.0,8,Yes,6,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,Low Value,0.16,0.0,31.5
user_000043,2025-05-15,2025-05,2025-05-12/2025-05-18,230,Google Ads,CA,Android,25-34,Yes,No,No,4,21.2,1.4,2,Yes,1,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,Low Value,0.02,0.0,28.0
user_000044,2025-01-21,2025-01,2025-01-20/2025-01-26,344,Facebook Ads,KR,Android,25-34,Yes,No,No,20,20.0,6.7,21,No,14,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,Low Value,0.06,0.0,25.2
user_000045,2025-11-25,2025-11,2025-11-24/2025-11-30,36,Apple Search,UK,Android,18-24,No,No,No,2,12.8,0.4,4,Yes,3,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,Low Value,0.06,0.0,15.5
user_000046,2025-06-16,2025-06,2025-06-16/2025-06-22,198,Facebook Ads,US,iOS,35-44,No,No,No,7,7.7,0.9,8,No,2,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,Low Value,0.04,0.0,10.4
user_000047,2025-10-01,2025-10,2025-09-29/2025-10-05,91,Facebook Ads,IN,Android,35-44,Yes,No,No,17,29.2,8.3,16,Yes,12,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,Low Value,0.19,0.0,34.5
user_000048,2025-03-30,2025-03,2025-03-24/2025-03-30,276,Google Ads,DE,iOS,35-44,No,No,No,1,19.0,0.3,4,No,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,Low Value,0.0,0.0,3.5
user_000049,2025-11-12,2025-11,2025-11-10/2025-11-16,49,Organic,BR,iOS,18-24,No,No,No,2,7.8,0.3,2,Yes,1,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,Low Value,0.04,0.0,15.5
user_000050,2025-01-14,2025-01,2025-01-13/2025-01-19,351,Google Ads,BR,Android,18-24,No,No,No,1,19.0,0.3,0,Yes,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,Low Value,0.0,0.0,13.5
user_000051,2025-08-30,2025-08,2025-08-25/2025-08-31,123,Google Ads,JP,iOS,18-24,Yes,No,No,3,33.6,1.7,2,Yes,2,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.54,High Value (Whale),0.02,0.0,26.9
user_000052,2025-09-22,2025-09,2025-09-22/2025-09-28,100,Facebook Ads,DE,iOS,18-24,No,No,No,8,22.9,3.1,11,Yes,6,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,Low Value,0.08,0.0,21.0
user_000053,2025-12-12,2025-12,2025-12-08/2025-12-14,19,Organic,AU,Android,18-24,No,No,No,2,9.1,0.3,1,Yes,1,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,Low Value,0.11,0.0,15.5
user_000054,2025-02-22,2025-02,2025-02-17/2025-02-23,312,Organic,US,Android,18-24,Yes,No,No,18,22.0,6.6,13,Yes,4,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,Low Value,0.06,0.0,34.7
user_000055,2025-12-06,2025-12,2025-12-01/2025-12-07,25,Influencer,CN,Android,25-34,No,No,No,10,13.1,2.2,5,Yes,2,0,No,Yes,2,2,130.84,9.68,60.18,89.98,93.62,130.84,3.89,Medium Value,0.4,13.08,22.0
user_000056,2025-04-02,2025-04,2025-03-31/2025-04-06,273,Google Ads,AU,Android,25-34,No,No,No,3,8.9,0.4,2,Yes,3,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,Low Value,0.01,0.0,16.9
user_000057,2025-09-21,2025-09,2025-09-15/2025-09-21,101,Organic,JP,Android,25-34,No,No,No,1,9.4,0.2,1,Yes,1,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,Low Value,0.01,0.0,13.5
user_000058,2025-02-04,2025-02,2025-02-03/2025-02-09,330,Facebook Ads,IN,iOS,25-34,No,No,No,7,9.9,1.2,7,Yes,4,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,Low Value,0.02,0.0,20.4
user_000059,2025-07-25,2025-07,2025-07-21/2025-07-27,159,Google Ads,CA,Android,35-44,No,No,No,2,19.0,0.6,2,Yes,2,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,Low Value,0.01,0.0,15.5
user_000060,2025-03-22,2025-03,2025-03-17/2025-03-23,284,Apple Search,CN,iOS,35-44,No,No,No,4,9.4,0.6,4,Yes,1,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,Low Value,0.01,0.0,18.0
user_000061,2025-02-19,2025-02,2025-02-17/2025-02-23,315,Organic,US,iOS,25-34,Yes,No,No,46,12.5,9.6,34,Yes,23,0,No,Yes,2,11,35.26,0.08,1.58,6.06,17.12,35.26,3.08,Medium Value,0.15,0.77,39.3
user_000062,2025-12-26,2025-12,2025-12-22/2025-12-28,5,Organic,JP,Android,35-44,Yes,No,No,13,15.9,3.4,3,Yes,10,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.21,Medium Value,2.6,0.0,33.2
user_000063,2025-01-02,2025-01,2024-12-30/2025-01-05,363,Influencer,US,Android,45-54,No,No,No,2,12.4,0.4,3,No,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,Low Value,0.01,0.0,5.5
user_000064,2025-02-23,2025-02,2025-02-17/2025-02-23,311,Organic,BR,iOS,25-34,Yes,No,No,25,8.6,3.6,15,Yes,12,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,Medium Value,0.08,0.0,36.3
user_000065,2025-04-16,2025-04,2025-04-14/2025-04-20,259,Organic,BR,iOS,18-24,No,No,No,1,12.6,0.2,1,Yes,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,Low Value,0.0,0.0,13.5
user_000066,2025-09-17,2025-09,2025-09-15/2025-09-21,105,Cross Promo,UK,iOS,45-54,No,No,No,12,13.5,2.7,7,No,9,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,Low Value,0.11,0.0,12.8
user_000067,2025-11-06,2025-11,2025-11-03/2025-11-09,55,Google Ads,JP,Android,45-54,Yes,No,No,49,13.0,10.6,43,No,18,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,Low Value,0.89,0.0,29.6
user_000068,2025-07-10,2025-07,2025-07-07/2025-07-13,174,Organic,US,Android,18-24,No,No,No,4,12.8,0.9,4,No,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,Low Value,0.02,0.0,8.0
user_000069,2025-08-06,2025-08,2025-08-04/2025-08-10,147,Organic,CN,Android,18-24,Yes,No,No,3,11.9,0.6,1,Yes,1,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,Low Value,0.02,0.0,26.9
user_000070,2025-02-13,2025-02,2025-02-10/2025-02-16,321,Organic,CN,Android,35-44,No,No,No,3,9.0,0.4,6,No,1,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,Low Value,0.01,0.0,6.9
user_000071,2025-06-11,2025-06,2025-06-09/2025-06-15,203,Organic,CA,Android,25-34,No,No,No,2,16.4,0.6,2,No,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,Low Value,0.01,0.0,5.5
user_000072,2025-07-21,2025-07,2025-07-21/2025-07-27,163,Influencer,CN,Android,45-54,No,No,No,1,11.9,0.2,0,No,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,Low Value,0.01,0.0,3.5
user_000073,2025-09-27,2025-09,2025-09-22/2025-09-28,95,Facebook Ads,BR,Android,18-24,No,No,No,1,9.3,0.2,0,Yes,2,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,Low Value,0.01,0.0,13.5
user_000074,2025-12-17,2025-12,2025-12-15/2025-12-21,14,Google Ads,CN,Android,45-54,No,No,No,1,13.7,0.2,1,Yes,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,Low Value,0.07,0.0,13.5
user_000075,2025-10-31,2025-10,2025-10-27/2025-11-02,61,Influencer,UK,Android,18-24,No,No,No,4,14.0,0.9,6,Yes,2,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,Low Value,0.07,0.0,18.0
user_000076,2025-09-28,2025-09,2025-09-22/2025-09-28,94,Facebook Ads,KR,Android,25-34,No,No,No,5,15.8,1.3,5,Yes,4,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,Low Value,0.05,0.0,19.0
user_000077,2025-08-03,2025-08,2025-07-28/2025-08-03,150,Organic,IN,Android,55+,Yes,No,No,77,13.6,17.5,73,No,33,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,Low Value,0.51,0.0,31.8
user_000078,2025-09-09,2025-09,2025-09-08/2025-09-14,113,Facebook Ads,UK,Android,18-24,Yes,No,No,4,28.1,1.9,2,Yes,4,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,Low Value,0.04,0.0,28.0
user_000079,2025-07-09,2025-07,2025-07-07/2025-07-13,175,Influencer,JP,iOS,18-24,No,No,No,1,6.2,0.1,2,Yes,1,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,Low Value,0.01,0.0,13.5
user_000080,2025-10-23,2025-10,2025-10-20/2025-10-26,69,Apple Search,US,Android,45-54,No,No,No,1,8.5,0.1,0,Yes,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,Low Value,0.01,0.0,13.5
user_000081,2025-08-01,2025-08,2025-07-28/2025-08-03,152,Organic,JP,Android,18-24,No,No,No,13,22.8,4.9,15,Yes,10,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.45,Medium Value,0.09,0.0,23.2
user_000082,2025-07-27,2025-07,2025-07-21/2025-07-27,157,Google Ads,DE,Android,18-24,Yes,Yes,No,33,8.9,4.9,26,Yes,20,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,Low Value,0.21,0.0,67.6
user_000083,2025-08-25,2025-08,2025-08-25/2025-08-31,128,Google Ads,JP,Android,25-34,No,No,No,12,9.0,1.8,6,Yes,3,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.59,Medium Value,0.09,0.0,22.8
user_000084,2025-12-04,2025-12,2025-12-01/2025-12-07,27,Influencer,US,iOS,35-44,No,No,No,11,18.6,3.4,6,Yes,5,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,Medium Value,0.41,0.0,22.4
user_000085,2025-02-22,2025-02,2025-02-17/2025-02-23,312,Organic,DE,iOS,35-44,Yes,No,No,1,7.2,0.1,1,No,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,Low Value,0.0,0.0,13.5
user_000086,2025-10-07,2025-10,2025-10-06/2025-10-12,85,Facebook Ads,US,iOS,45-54,No,No,No,1,15.9,0.3,2,Yes,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.32,Medium Value,0.01,0.0,13.5
user_000087,2025-08-05,2025-08,2025-08-04/2025-08-10,148,Influencer,BR,Android,25-34,No,No,No,1,13.0,0.2,1,No,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,Low Value,0.01,0.0,3.5
user_000088,2025-09-09,2025-09,2025-09-08/2025-09-14,113,Facebook Ads,KR,iOS,25-34,No,No,No,1,24.2,0.4,1,Yes,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.72,Medium Value,0.01,0.0,13.5
user_000089,2025-07-07,2025-07,2025-07-07/2025-07-13,177,Facebook Ads,DE,Android,25-34,Yes,Yes,No,38,20.0,12.7,29,Yes,17,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.91,Low Value,0.21,0.0,68.3
user_000090,2025-02-10,2025-02,2025-02-10/2025-02-16,324,Organic,US,Android,45-54,No,No,No,3,7.3,0.4,3,Yes,2,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,Low Value,0.01,0.0,16.9
user_000091,2025-06-06,2025-06,2025-06-02/2025-06-08,208,Organic,JP,Android,35-44,Yes,No,No,28,14.1,6.6,20,Yes,15,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,Low Value,0.13,0.0,36.8
user_000092,2025-01-15,2025-01,2025-01-13/2025-01-19,350,Facebook Ads,KR,Android,45-54,No,No,No,1,11.3,0.2,1,No,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,Low Value,0.0,0.0,3.5
user_000093,2025-10-28,2025-10,2025-10-27/2025-11-02,64,Influencer,BR,Android,55+,Yes,No,No,7,22.0,2.6,9,Yes,2,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,Low Value,0.11,0.0,30.4
user_000094,2025-03-06,2025-03,2025-03-03/2025-03-09,300,Organic,CN,Android,25-34,No,No,No,4,18.2,1.2,2,Yes,3,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,Low Value,0.01,0.0,18.0
user_000095,2025-12-11,2025-12,2025-12-08/2025-12-14,20,Facebook Ads,US,Android,25-34,No,No,No,1,22.5,0.4,0,No,4,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.32,Medium Value,0.05,0.0,3.5
user_000096,2025-11-23,2025-11,2025-11-17/2025-11-23,38,Google Ads,UK,Android,35-44,Yes,No,No,12,6.6,1.3,8,Yes,5,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,Low Value,0.32,0.0,32.8
user_000097,2025-01-09,2025-01,2025-01-06/2025-01-12,356,Organic,US,iOS,18-24,No,No,No,1,6.3,0.1,0,Yes,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,Low Value,0.0,0.0,13.5
user_000098,2025-12-10,2025-12,2025-12-08/2025-12-14,21,Facebook Ads,AU,iOS,18-24,No,No,No,1,10.3,0.2,2,Yes,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,Low Value,0.05,0.0,13.5
user_000099,2025-05-09,2025-05,2025-05-05/2025-05-11,236,Google Ads,CA,Android,45-54,Yes,No,No,31,19.0,9.8,23,Yes,10,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46,Low Value,0.13,0.0,37.3
user_000100,2025-05-16,2025-05,2025-05-12/2025-05-18,229,Influencer,DE,Android,25-34,No,No,No,6,8.2,0.8,6,No,5,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,Low Value,0.03,0.0,9.7
user_000101,2025-03-04,2025-03,2025-03-03/2025-03-09,302,Google Ads,CN,Android,25-34,Yes,No,No,5,10.7,0.9,2,Yes,2,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,Low Value,0.02,0.0,29.0
user_000102,2025-05-19,2025-05,2025-05-19/2025-05-25,226,Google Ads,BR,Android,25-34,No,No,No,2,10.2,0.3,3,Yes,1,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,Low Value,0.01,0.0,15.5
user_000103,2025-03-22,2025-03,2025-03-17/2025-03-23,284,Organic,CN,iOS,35-44,Yes,No,No,3,5.0,0.2,4,Yes,2,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,Medium Value,0.01,0.0,26.9
user_000104,2025-06-12,2025-06,2025-06-09/2025-06-15,202,Influencer,CN,Android,18-24,No,No,No,1,8.9,0.2,0,Yes,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,Low Value,0.0,0.0,13.5
